-2.283635816396614970e+01,-2.466424488323470143e+01,-2.316651454338913396e+01,-2.305908200073583458e+01
-2.451125873138089517e+01,-2.345013983350152742e+01,-2.250037071995929949e+01,-2.246685411504664032e+01
-2.463277206496464800e+01,-2.376722168560047521e+01,-2.289804586794779340e+01,-2.270324438408308865e+01
-2.390918537078288963e+01,-2.379658659241662733e+01,-2.278330139490930861e+01,-2.268994561163655987e+01
-2.396138844568859128e+01,-2.395425324232169828e+01,-2.281442335319738746e+01,-2.266480723016570309e+01
-2.453806839486032843e+01,-2.258780113009386881e+01,-2.219633794499763368e+01,-2.202192071105197968e+01
-2.441730669592394065e+01,-2.233867932704918502e+01,-2.218574531263949723e+01,-2.208211152519998421e+01
-2.396020249668508484e+01,-2.319928939366172216e+01,-2.268994561163655987e+01,-2.230105103926680243e+01
-2.461992296583362361e+01,-2.309389280160180391e+01,-2.239026794776084017e+01,-2.219483102427723153e+01
-2.437441175743098398e+01,-2.312762208664474173e+01,-2.261681107506268518e+01,-2.233072518008371077e+01
-2.467289621350846929e+01,-2.250604630112572124e+01,-2.219332200915626530e+01,-2.207371445159859036e+01
-2.414622432465103685e+01,-2.276739935988592833e+01,-2.229694099194325219e+01,-2.221869431904280745e+01
-2.300037926111203035e+01,-2.350744304186934386e+01,-2.261476444636098648e+01,-2.253288357777939765e+01
-2.436627886393667808e+01,-2.239404005186109714e+01,-2.163643267267324433e+01,-2.146611932988285432e+01
-2.372384429736271372e+01,-2.301180816879823965e+01,-2.247736697377429493e+01,-2.246567971124932583e+01
-2.434982800065837694e+01,-2.222164068775666124e+01,-2.191027419502013629e+01,-2.183941817782020323e+01
-2.407281486714204277e+01,-2.326314049017035046e+01,-2.256122769879133827e+01,-2.242008408791668828e+01
-2.360221449555385576e+01,-2.267648192549941655e+01,-2.231868362000423289e+01,-2.216113833975695968e+01
-2.389793411771620057e+01,-2.317632917478454857e+01,-2.238395183800705368e+01,-2.235960982977474742e+01
-2.472340467872918524e+01,-2.228867392506219147e+01,-2.217811537115672493e+01,-2.206014257232009612e+01
-2.389415764015310373e+01,-2.347824501463800573e+01,-2.257406413841633253e+01,-2.214862251004219829e+01
-2.426181709723174862e+01,-2.366784270088317044e+01,-2.267841556128166403e+01,-2.240776004861926296e+01
